Index,frame
0,141.906
1,140.611
2,139.284
3,138.516
4,138.383
5,138.412
6,139.905
7,139.437
8,139.668
9,138.682
10,139.295
11,139.241
12,140.301
13,140.222
14,142.996
15,141.023
16,139.171
17,139.568
18,140.273
19,139.422
20,141.401
21,140.636
22,138.718
23,126.119
24,125.796
25,124.921
26,125.901
27,127.167
28,125.477
29,126.588
30,127.249
31,127.017
32,126.472
33,127.068
34,126.407
35,127.093
36,126.075
37,125.846
38,127.272
39,126.175
40,126.911
41,126.481
42,126.863
43,126.471
44,126.946
45,127.046
46,126.814
47,127.048
48,128.124
49,126.278
50,122.196
51,121
52,120.63
53,121.882
54,121.737
55,122.15
56,121.309
57,121.888
58,121.796
59,122.078
60,123.121
61,124.203
62,125.144
63,125.653
64,126.159
65,125.746
66,125.253
67,125.108
68,124.772
69,125.794
70,125.793
71,125.204
72,124.7
73,125.424
74,124.785
75,125.116
76,124.803
77,125.326
78,125.077
79,125.651
80,125.612
81,125.504
82,126.385
83,138.208
84,138.592
85,139.423
86,137.08
87,136.886
88,139.365
89,137.56
90,136.721
91,137.061
92,137.217
93,137.088
94,137.687
95,137.688
96,138.442
97,138.705
98,137.468
99,137.147
100,137.371
101,137.321
102,137.32
103,137.38
104,137.369
105,136.774
106,137.481
107,136.243
108,136.2
109,137.099
110,142.276
111,144.832
112,145.448
113,144.59
114,144.396
115,143.667
116,144.428
117,142.876
118,143.591
119,143.264
120,142.88
121,143.435
122,142.578
123,143.57
124,143.215
125,144.319
126,143.623
127,144.006
128,144.293
129,143.964
130,143.484
131,144.046
132,144.164
133,144.258
134,144.478
135,143.556
136,144.479
137,143.755
138,144.377
139,143.321
140,143.91
141,144.361
142,144.053
143,143.851
144,143.206
145,143.758
146,145.057
147,144.223
148,143.016
149,142.358
150,144.577
151,144.208
152,144.381
153,143.37
154,144.342
155,144.011
156,144.109
157,143.648
158,142.321
159,145.007
160,143.783
161,144.243
162,142.993
163,142.521
164,139.254
165,139.147
166,139.35
167,141.139
168,143.738
169,143.911
170,143.077
171,141.776
172,141.437
173,141.613
174,141.477
175,141.039
176,141.73
177,142.525
178,141.855
179,141.928
180,142.896
181,141.898
182,142.67
183,141.833
184,141.978
185,141.76
186,141.188
187,141.682
188,141.027
189,140.83
190,141.647
191,141.414
192,141.707
193,141.211
194,140.846
195,141.85
196,141.724
197,141.431
198,141.244
199,141.789
200,141.955
201,140.377
202,141.002
203,141.851
204,142.465
205,142.037
206,141.454
207,140.711
208,142.588
209,143.401
210,140.748
211,141.401
212,141.548
213,142.168
214,141.412
215,141.222
216,141.595
217,141.674
218,143.449
219,141.11
220,141.048
221,141.902
222,141.919
223,143.594
224,146.183
225,146.556
226,146.032
227,145.462
228,143.964
229,142.767
230,141.715
231,143.668
232,144.4
233,142.978
234,143.535
235,144.551
236,143.804
237,144.047
238,143.306
239,143.917
240,143.957
241,144.626
242,144.409
243,144.602
244,143.403
245,144.059
246,144.547
247,143.997
248,144.96
249,144.968
250,144.554
251,143.83
252,144.171
253,143.681
254,144.58
255,143.621
256,142.656
257,144.126
258,143.705
259,144.799
260,143.588
261,144.096
262,144.325
263,142.932
264,143.988
265,143.478
266,144.006
267,145.031
268,143.978
269,143.215
270,143.406
271,141.961
272,143.464
273,143.417
274,143.36
275,144.639
276,142.57
277,144.393
278,143.64
279,144.677
280,144.246
281,143.947
282,144.052
283,143.086
284,143.797
285,143.92
286,143.106
287,140.495
288,140.55
289,142.807
290,143.284
291,141.862
292,141.65
293,142.824
294,142.163
295,141.769
296,141.485
297,141.113
298,142.617
299,141.194
