Index,frame
0,70.8005
1,71.3679
2,70.6231
3,71.0198
4,69.9576
5,70.9346
6,71.3057
7,71.5816
8,71.5712
9,71.2944
10,71.2466
11,71.0034
12,71.4464
13,71.5832
14,71.2023
15,72.07
16,71.1532
17,71.2057
18,71.0882
19,71.2269
20,70.9688
21,71.6974
22,71.0065
23,71.0328
24,70.9466
25,75.8576
26,76.9834
27,75.9805
28,74.8499
29,74.4411
30,74.5858
31,74.9826
32,74.4963
33,74.6534
34,74.5519
35,74.3886
36,74.2436
37,74.443
38,74.6083
39,74.5418
40,74.3817
41,74.2143
42,74.3959
43,74.1478
44,74.1184
45,74.3833
46,74.1354
47,74.1064
48,74.1113
49,73.6027
50,74.0421
51,74.0379
52,73.9643
53,74.0422
54,74.0085
55,73.7516
56,73.7758
57,73.753
58,73.6812
59,73.8489
60,74.1825
61,73.8804
62,74.2713
63,74.102
64,75.3847
65,74.443
66,73.8855
67,73.8164
68,73.89
69,73.9404
70,73.6897
71,73.3234
72,73.9241
73,73.9865
74,73.7695
75,73.8533
76,73.8306
77,73.95
78,72.2363
79,72.4895
80,73.5229
81,74.2077
82,73.9318
83,74.245
84,74.1594
85,74.1385
86,74.0728
87,74.5195
88,74.5865
89,74.5296
90,74.338
91,74.3418
92,73.9742
93,73.7808
94,73.7545
95,74.3099
96,74.5301
97,74.063
98,73.9483
99,74.2067
100,73.6318
101,74.1337
102,73.6779
103,74.4194
104,74.2932
105,74.0418
106,73.8774
107,74.1387
108,73.6015
109,73.9637
110,73.8874
111,73.9185
112,73.9247
113,73.7955
114,73.8442
115,73.5003
116,72.5561
117,73.2089
118,73.9136
119,73.177
120,73.6679
121,73.6287
122,73.6978
123,73.5514
124,73.4271
125,73.6128
126,73.4467
127,73.3512
128,73.4184
129,73.404
130,73.597
131,74.1503
132,73.2689
133,73.3041
134,73.2684
135,73.6321
136,73.6848
137,73.5568
138,75.3275
139,75.5291
140,74.1177
141,73.2045
142,73.8177
143,73.4997
144,73.6507
145,73.6789
146,73.5495
147,73.2019
148,73.0745
149,73.3368
150,73.4123
151,73.4845
152,73.4819
153,73.6463
154,73.9106
155,73.5423
156,73.2671
157,73.7386
158,73.8079
159,73.4882
160,74.0815
161,73.4887
162,73.7113
163,73.4346
164,73.5828
165,73.708
166,73.914
167,73.5663
168,73.9274
169,74.1049
170,73.8441
171,73.7471
172,73.8361
173,73.4901
174,73.7106
175,74.1497
176,75.2132
177,74.1601
178,73.7176
179,74.0568
180,73.948
181,73.9849
182,73.8404
183,73.7694
184,74.237
185,74.0474
186,73.7976
187,73.8823
188,72.9008
189,71.0852
190,71.854
191,72.7179
192,73.2558
193,73.4314
194,73.3304
195,72.8007
196,72.6269
197,72.8906
198,73.4856
199,73.1846
200,73.4708
201,73.4318
202,73.1052
203,72.7995
204,72.7821
205,72.8296
206,73.2326
207,73.1552
208,73.5181
209,73.1934
210,72.6935
211,72.8976
212,72.8477
213,72.9132
214,73.0047
215,72.9735
216,73.1923
217,73.0126
218,72.4648
219,73.0152
220,72.3077
221,72.8387
222,73.2901
223,73.0154
224,72.9644
225,72.7578
226,72.8275
227,72.5432
228,72.5036
229,72.9074
230,73.0127
231,72.777
232,72.6866
233,73.0541
234,72.7633
235,72.4734
236,72.4724
237,73.0602
238,72.775
239,73.0084
240,72.6356
241,72.543
242,72.7617
243,72.5114
244,72.4544
245,72.6205
246,72.8755
247,72.9339
248,73.4286
249,75.5664
250,74.7028
251,73.9566
252,73.1979
253,73.2741
254,73.698
255,73.7629
256,73.5636
257,73.2093
258,73.0084
259,72.9405
260,73.2331
261,73.0879
262,73.2691
263,73.5794
264,73.5137
265,73.3114
266,72.9778
267,73.2406
268,72.9043
269,73.1219
270,73.5061
271,73.181
272,73.6452
273,73.5173
274,73.177
275,72.9082
276,72.748
277,73.0617
278,73.6128
279,73.0676
280,73.7459
281,73.6143
282,72.828
283,73.0756
284,72.6965
285,72.975
286,72.8771
287,73.4454
288,73.6516
289,73.1696
290,73.161
291,73.057
292,72.8324
293,71.0462
294,71.8641
295,72.8218
296,73.2314
297,73.2091
298,72.9505
299,73.0881
