Index,frame
0,0.0097683
1,0.0041526
2,0.0070264
3,0.0093544
4,0.0175309
5,0.0133929
6,0.0032099
7,0.0051377
8,0.0069438
9,0.0069055
10,0.0086188
11,0.0074958
12,0.0069099
13,0.0046619
14,0.0071012
15,0.006799
16,0.0071334
17,0.0086846
18,0.0052665
19,0.009128
20,0.0074595
21,0.0048171
22,0.0062465
23,0.00689
24,0.009087
25,0.0090383
26,0.0042714
27,0.0054607
28,0.0091963
29,0.0112324
30,0.0086664
31,0.0055368
32,0.0069161
33,0.0070383
34,0.0087693
35,0.0050958
36,0.0076557
37,0.0061248
38,0.007695
39,0.0063037
40,0.0070131
41,0.0086879
42,0.0072529
43,0.0054251
44,0.0063948
45,0.0079952
46,0.0058224
47,0.007007
48,0.0069129
49,0.0068737
50,0.0070787
51,0.0069005
52,0.008155
53,0.0057616
54,0.0097164
55,0.0081245
56,0.0061247
57,0.0036325
58,0.0072533
59,0.0081971
60,0.0058419
61,0.0090124
62,0.0045826
63,0.008758
64,0.0168561
65,0.0215361
66,0.0049492
67,0.0034353
68,0.0068531
69,0.0075481
70,0.0074272
71,0.005925
72,0.0069251
73,0.0069396
74,0.0118783
75,0.0097728
76,0.0046423
77,0.0013934
78,0.0069796
79,0.0070048
80,0.0211592
81,0.0082134
82,0.0033493
83,0.0049644
84,0.0194278
85,0.0025048
86,0.0027964
87,0.007075
88,0.0074195
89,0.0064103
90,0.0068717
91,0.007139
92,0.0068468
93,0.0069371
94,0.0085794
95,0.006414
96,0.0078256
97,0.0075614
98,0.0043216
99,0.008994
100,0.0079555
101,0.0046329
102,0.006261
103,0.0077174
104,0.0061665
105,0.0069636
106,0.0228913
107,0.004807
108,0.0076873
109,0.0064196
110,0.0082098
111,0.0054472
112,0.0069192
113,0.0069722
114,0.0135164
115,0.0176677
116,0.0047622
117,0.0012346
118,0.0064169
119,0.0061696
120,0.0111915
121,0.0037392
122,0.036789
123,0.0380548
124,0.0086621
125,0.0078268
126,0.0065954
127,0.0059438
128,0.0065104
129,0.0054744
130,0.0098406
131,0.0040687
132,0.0069728
133,0.0086612
134,0.0054565
135,0.0067436
136,0.0080654
137,0.0155894
138,0.0109998
139,0.001194
140,0.0081635
141,0.0052491
142,0.0062354
143,0.0071131
144,0.0089307
145,0.0048966
146,0.0077703
147,0.0062528
148,0.0066266
149,0.0080981
150,0.0058749
151,0.0069816
152,0.0068197
153,0.0081124
154,0.0059525
155,0.009309
156,0.0044717
157,0.0070034
158,0.0096417
159,0.0074966
160,0.0074507
161,0.0033466
162,0.0080581
163,0.0057271
164,0.0067663
165,0.0071245
166,0.0068594
167,0.0077686
168,0.0113443
169,0.0083639
170,0.0019801
171,0.0056698
172,0.0066701
173,0.006822
174,0.0069353
175,0.007007
176,0.0069377
177,0.0068894
178,0.0083672
179,0.0054502
180,0.0094541
181,0.0071982
182,0.0041928
183,0.0070164
184,0.0068847
185,0.0069626
186,0.006891
187,0.0080148
188,0.0058783
189,0.0084488
190,0.0370979
191,0.0016354
192,0.001579
193,0.00911
194,0.0076815
195,0.0039115
196,0.0070014
197,0.0069318
198,0.008377
199,0.005547
200,0.0084984
201,0.0053961
202,0.0076401
203,0.0062359
204,0.022402
205,0.0066685
206,0.0084104
207,0.0046029
208,0.0067182
209,0.0067996
210,0.006945
211,0.008864
212,0.0062395
213,0.0067454
214,0.0059087
215,0.0074508
216,0.009032
217,0.0087122
218,0.0107345
219,0.0044995
220,0.0064334
221,0.0017662
222,0.0079964
223,0.0116712
224,0.0068676
225,0.0020606
226,0.0061588
227,0.0079625
228,0.0057391
229,0.0121271
230,0.0018699
231,0.0069844
232,0.0068695
233,0.006928
234,0.0096925
235,0.0095356
236,0.0052208
237,0.0034385
238,0.008466
239,0.0116455
240,0.0093795
241,0.0010252
242,0.0044655
243,0.0065787
244,0.0070166
245,0.0070098
246,0.0068599
247,0.0109456
248,0.0096216
249,0.0059965
250,0.0011055
251,0.0070115
252,0.0088378
253,0.0105765
254,0.0071056
255,0.0167424
256,0.0047465
257,0.0034274
258,0.0042403
259,0.0102591
260,0.0069343
261,0.0036072
262,0.0091921
263,0.0046967
264,0.008046
265,0.0058478
266,0.0068525
267,0.0079533
268,0.0059802
269,0.0085723
270,0.0053912
271,0.0068939
272,0.0071531
273,0.0084251
274,0.0089657
275,0.0041244
276,0.005933
277,0.0070886
278,0.008856
279,0.0049864
280,0.00796
281,0.006
282,0.0084655
283,0.0066497
284,0.0067407
285,0.0072913
286,0.005565
287,0.0079601
288,0.0058868
289,0.0088609
290,0.0049346
291,0.0087823
292,0.0098928
293,0.0115724
294,0.0044262
295,0.0085
296,0.0055558
297,0.0068468
298,0.0070484
299,0.0098346
