Index,frame
0,0.0166218
1,0.0050355
2,0.0035713
3,0.0091769
4,0.0153365
5,0.0101002
6,0.0079896
7,0.0022087
8,0.0040336
9,0.0068668
10,0.0070071
11,0.0068932
12,0.0069521
13,0.0114901
14,0.0042925
15,0.0064937
16,0.0053928
17,0.0077984
18,0.0060353
19,0.0070241
20,0.0069028
21,0.006925
22,0.0070014
23,0.0068728
24,0.008971
25,0.0062794
26,0.007291
27,0.0052623
28,0.0069656
29,0.0069658
30,0.0069285
31,0.0082714
32,0.0056793
33,0.0075819
34,0.0061828
35,0.0070142
36,0.0069668
37,0.0069493
38,0.009976
39,0.0058362
40,0.0050074
41,0.0069553
42,0.0083763
43,0.0054162
44,0.0072082
45,0.006685
46,0.0069413
47,0.0070035
48,0.0069051
49,0.0069267
50,0.0070777
51,0.0090854
52,0.0089158
53,0.0083165
54,0.0030412
55,0.0052296
56,0.0087616
57,0.0051345
58,0.008066
59,0.0060136
60,0.008214
61,0.0116845
62,0.0019815
63,0.0085481
64,0.0042947
65,0.0091587
66,0.0093606
67,0.0072019
68,0.0018838
69,0.0092849
70,0.0119456
71,0.0037462
72,0.0029014
73,0.006875
74,0.0142546
75,0.0036622
76,0.0046764
77,0.0103167
78,0.0153689
79,0.0065429
80,0.0045071
81,0.0032282
82,0.009141
83,0.012212
84,0.0049876
85,0.001427
86,0.0077755
87,0.0060672
88,0.006938
89,0.0069014
90,0.0070159
91,0.0085299
92,0.0055868
93,0.0074861
94,0.006975
95,0.0074535
96,0.0056796
97,0.0079794
98,0.0058443
99,0.0070663
100,0.0069776
101,0.0068835
102,0.013851
103,0.0012295
104,0.0070902
105,0.0079148
106,0.0046277
107,0.0098731
108,0.0040684
109,0.0086874
110,0.0076807
111,0.0063632
112,0.0048955
113,0.0136768
114,0.0057764
115,0.0070356
116,0.002949
117,0.0090719
118,0.0058075
119,0.0043198
120,0.0068796
121,0.0070554
122,0.0090907
123,0.006259
124,0.0067869
125,0.0055702
126,0.006955
127,0.0107336
128,0.0081059
129,0.0030822
130,0.0058175
131,0.0091736
132,0.0063419
133,0.0056269
134,0.0067272
135,0.0069737
136,0.0079514
137,0.0059911
138,0.0076222
139,0.0060819
140,0.0085713
141,0.0112376
142,0.0068728
143,0.0011559
144,0.0070224
145,0.0083042
146,0.0054458
147,0.0075486
148,0.0064337
149,0.0088952
150,0.0108219
151,0.0099639
152,0.0050834
153,0.0082971
154,0.0055937
155,0.0084047
156,0.0056574
157,0.0086261
158,0.0075655
159,0.0051857
160,0.0060868
161,0.0070904
162,0.006896
163,0.0069256
164,0.009478
165,0.0079103
166,0.0092734
167,0.0051281
168,0.0028969
169,0.0100522
170,0.0039775
171,0.0088543
172,0.0048636
173,0.0070244
174,0.0070558
175,0.0081959
176,0.0054881
177,0.0070962
178,0.0092057
179,0.0046534
180,0.0091465
181,0.0095377
182,0.0094231
183,0.0038018
184,0.0085678
185,0.0058407
186,0.0037273
187,0.0055959
188,0.0068254
189,0.0089855
190,0.0063004
191,0.0071768
192,0.0053005
193,0.0088883
194,0.0086172
195,0.0049938
196,0.0052651
197,0.0071841
198,0.0080513
199,0.005621
200,0.0087378
201,0.0050824
202,0.009735
203,0.0178837
204,0.0014154
205,0.0058396
206,0.0068489
207,0.0070723
208,0.0085057
209,0.0053741
210,0.0090638
211,0.0106327
212,0.011906
213,0.0031626
214,0.0069529
215,0.0067531
216,0.0069539
217,0.0069724
218,0.0092097
219,0.0101286
220,0.0072528
221,0.0019554
222,0.0062604
223,0.0084588
224,0.0109802
225,0.004223
226,0.0040177
227,0.0069548
228,0.0070287
229,0.0070562
230,0.006694
231,0.0069818
232,0.0068832
233,0.0070132
234,0.0089548
235,0.0049266
236,0.0083284
237,0.0075741
238,0.0050969
239,0.0067403
240,0.0097735
241,0.0065118
242,0.0045586
243,0.0069909
244,0.0072669
245,0.008955
246,0.0077723
247,0.0046748
248,0.0060422
249,0.0069952
250,0.007336
251,0.0142217
252,0.0011145
253,0.0051813
254,0.0078399
255,0.0058597
256,0.0070465
257,0.0068742
258,0.01158
259,0.0076073
260,0.0017414
261,0.007008
262,0.0075188
263,0.0086355
264,0.0099507
265,0.0073818
266,0.003196
267,0.0048261
268,0.0099471
269,0.0113442
270,0.0036583
271,0.0028011
272,0.0087541
273,0.0053828
274,0.0098975
275,0.0039018
276,0.0069777
277,0.0068484
278,0.0069963
279,0.0082676
280,0.0054737
281,0.0086068
282,0.0104246
283,0.0065928
284,0.0023292
285,0.0068401
286,0.007655
287,0.0064606
288,0.007915
289,0.0058263
290,0.0084109
291,0.0084138
292,0.004079
293,0.0069135
294,0.0068719
295,0.0094799
296,0.00432
297,0.0091395
298,0.0048038
299,0.0082583
