Index,frame
0,138.889
1,138.268
2,143.674
3,142.701
4,137.66
5,136.471
6,135.291
7,143.567
8,143.317
9,141.098
10,140.889
11,138.091
12,138.575
13,138.231
14,138.739
15,140.031
16,139.967
17,140.278
18,138.174
19,140.014
20,142.533
21,141.037
22,140.26
23,142.239
24,142.236
25,141.831
26,140.827
27,141.794
28,141.499
29,141.607
30,142.267
31,141.391
32,141.47
33,140.908
34,139.951
35,140.369
36,142.042
37,142.549
38,141.36
39,141.584
40,141.902
41,141.382
42,144.155
43,144.423
44,140.486
45,140.748
46,141.385
47,141.775
48,142.09
49,142.004
50,142.326
51,141.543
52,140.946
53,140.951
54,142.036
55,142.026
56,143.487
57,141.439
58,140.678
59,141.68
60,143.317
61,141.951
62,141.819
63,140.517
64,145.485
65,145.826
66,146.258
67,145.037
68,143.788
69,144.272
70,143.998
71,145.654
72,145.577
73,144.958
74,143.717
75,143.55
76,143.756
77,143.232
78,144.868
79,142.512
80,137.041
81,136.013
82,133.631
83,130.553
84,130.885
85,132.571
86,133.773
87,132.882
88,132.555
89,132.362
90,132.36
91,133.058
92,133.533
93,134.287
94,134.792
95,134.235
96,132.624
97,132.592
98,133.121
99,132.851
100,132.625
101,132.39
102,131.796
103,133.378
104,135.982
105,133.543
106,131.368
107,132.764
108,132.657
109,132.879
110,132.438
111,132.861
112,132.87
113,134.206
114,131.332
115,132.608
116,133.611
117,133.535
118,133.52
119,132.858
120,131.452
121,131.935
122,132.223
123,133.173
124,132.917
125,133.529
126,132.305
127,132.885
128,132.085
129,132.481
130,132.858
131,132.542
132,129.76
133,128.597
134,129.283
135,129.069
136,127.985
137,128.64
138,127.845
139,129.024
140,133.709
141,137.326
142,139.099
143,141.767
144,141.079
145,140.111
146,138.465
147,139.39
148,139.31
149,139.58
150,140.01
151,139.07
152,139.69
153,138.089
154,137.159
155,136.583
156,137.437
157,137.62
158,136.751
159,137.497
160,137.267
161,137.652
162,138.408
163,137.805
164,137.155
165,138.249
166,137.721
167,134.248
168,134.134
169,135.025
170,135.376
171,134.367
172,134.673
173,134.891
174,135.278
175,132.474
176,131.52
177,130.813
178,132.48
179,133.154
180,134.527
181,133.683
182,130.706
183,131.034
184,132.098
185,131.903
186,132.472
187,132.928
188,133.638
189,133.174
190,133.344
191,133.414
192,135.898
193,137.264
194,137.738
195,137.192
196,137.167
197,138.004
198,138.06
199,138.57
200,137.004
201,136.151
202,137.674
203,137.728
204,137.747
205,137.472
206,136.74
207,136.22
208,137.184
209,136.871
210,137.178
211,137.406
212,136.032
213,136.295
214,136.598
215,137.458
216,137.166
217,136.511
218,137.721
219,136.622
220,137.162
221,137.359
222,137.185
223,136.43
224,134.17
225,132.787
226,134.668
227,137.929
228,138.45
229,137.113
230,136.942
231,136.722
232,136.745
233,136.408
234,138.461
235,140.752
236,139.432
237,141.797
238,139.602
239,139.313
240,139.282
241,140.533
242,142.66
243,141.333
244,139.075
245,138.769
246,140.292
247,138.756
248,139.435
249,139.695
250,138.988
251,138.553
252,139.085
253,139.484
254,138.846
255,139.573
256,140.035
257,139.374
258,139.63
259,139.466
260,140.218
261,140.601
262,139.33
263,138.257
264,139.116
265,138.917
266,140.72
267,139.483
268,139.876
269,140.048
270,139.269
271,139.369
272,140.434
273,141.806
274,142.327
275,141.772
276,141.484
277,142.527
278,141.042
279,142.457
280,141.762
281,141.232
282,141.424
283,141.921
284,144.94
285,145.678
286,145.105
287,143.499
288,143.148
289,143.866
290,144.087
291,144.471
292,145.083
293,144.654
294,142.983
295,144.078
296,145.056
297,143.99
298,144.847
299,144.004
