Index,frame
0,0.0095008
1,0.0378001
2,0.0096836
3,0.0075924
4,0.003744
5,0.0084038
6,0.0053641
7,0.0078395
8,0.0061578
9,0.0069115
10,0.0068797
11,0.0070128
12,0.0089432
13,0.0049191
14,0.0083016
15,0.0092432
16,0.0091717
17,0.0051409
18,0.0032179
19,0.008433
20,0.0051155
21,0.0083206
22,0.0083793
23,0.0058877
24,0.0074993
25,0.0045695
26,0.0094045
27,0.0045006
28,0.0085472
29,0.0069427
30,0.0070907
31,0.0065054
32,0.0071508
33,0.0093198
34,0.0053684
35,0.0067337
36,0.0051512
37,0.0071883
38,0.0065622
39,0.0069208
40,0.0068136
41,0.0085895
42,0.011325
43,0.006468
44,0.0038535
45,0.0044957
46,0.0087256
47,0.0053449
48,0.0085945
49,0.0068006
50,0.0063463
51,0.0059228
52,0.0091271
53,0.0064414
54,0.0052315
55,0.0095619
56,0.014451
57,0.0070855
58,0.005446
59,0.0074279
60,0.0046687
61,0.0084988
62,0.0053737
63,0.0092497
64,0.0046567
65,0.0087384
66,0.0076327
67,0.0073045
68,0.022492
69,0.0013558
70,0.0011104
71,0.0069735
72,0.0068647
73,0.0084474
74,0.0053697
75,0.0084605
76,0.0055135
77,0.0069712
78,0.0086432
79,0.0051611
80,0.0093534
81,0.0099295
82,0.0105459
83,0.0071595
84,0.0099301
85,0.0067263
86,0.0040549
87,0.0047542
88,0.0084573
89,0.0080589
90,0.0068538
91,0.0044895
92,0.0073832
93,0.006645
94,0.0068969
95,0.0069822
96,0.006799
97,0.008828
98,0.0095579
99,0.0086853
100,0.0011853
101,0.0089195
102,0.0092486
103,0.003406
104,0.0057844
105,0.0069878
106,0.0080069
107,0.0058722
108,0.0086459
109,0.005212
110,0.0082779
111,0.0054926
112,0.0070756
113,0.0088877
114,0.0049618
115,0.0069741
116,0.006987
117,0.0093648
118,0.0045831
119,0.0077384
120,0.0061764
121,0.0068388
122,0.0069593
123,0.0068446
124,0.0070576
125,0.0069219
126,0.0069293
127,0.006812
128,0.0095957
129,0.0081493
130,0.0030723
131,0.0070256
132,0.0069473
133,0.0095896
134,0.0042502
135,0.0073344
136,0.0070578
137,0.0064266
138,0.0098829
139,0.0219711
140,0.0063439
141,0.0034762
142,0.0070831
143,0.00684
144,0.0086812
145,0.0081742
146,0.0053112
147,0.0056056
148,0.0069651
149,0.0096353
150,0.0084712
151,0.0082166
152,0.0049871
153,0.0049138
154,0.0095451
155,0.0079804
156,0.0058504
157,0.0029068
158,0.0095761
159,0.0078087
160,0.0035329
161,0.0068886
162,0.0083543
163,0.0089813
164,0.0034486
165,0.0102461
166,0.0036822
167,0.0091227
168,0.0047522
169,0.0098704
170,0.0065325
171,0.005664
172,0.0056366
173,0.0083774
174,0.0055697
175,0.0070277
176,0.0068559
177,0.0071046
178,0.0068961
179,0.0068347
180,0.0079376
181,0.0076831
182,0.006199
183,0.0077956
184,0.0050976
185,0.008205
186,0.0057437
187,0.0090575
188,0.0049508
189,0.0085225
190,0.0087675
191,0.0033284
192,0.0087478
193,0.0052345
194,0.0095379
195,0.0123643
196,0.0083121
197,0.0057038
198,0.0080158
199,0.0047794
200,0.0068312
201,0.006875
202,0.008144
203,0.0058054
204,0.0084005
205,0.0055563
206,0.0095743
207,0.0258676
208,0.0128308
209,0.0097312
210,0.0043609
211,0.0093307
212,0.0048456
213,0.0075144
214,0.0061652
215,0.0077837
216,0.0080346
217,0.0068387
218,0.0082272
219,0.003809
220,0.0082136
221,0.0077079
222,0.0051918
223,0.007313
224,0.006268
225,0.0083086
226,0.0055544
227,0.0076396
228,0.0062905
229,0.0074752
230,0.0073122
231,0.0060216
232,0.0083681
233,0.0079744
234,0.0059278
235,0.0054899
236,0.0078594
237,0.0060804
238,0.0078906
239,0.0059373
240,0.0071343
241,0.0068502
242,0.0104163
243,0.0035064
244,0.0068515
245,0.0069581
246,0.0070514
247,0.0073154
248,0.0064385
249,0.0071069
250,0.0069285
251,0.0069802
252,0.009194
253,0.0046718
254,0.0087975
255,0.0050713
256,0.0087664
257,0.0083928
258,0.0037145
259,0.0068316
260,0.0068598
261,0.0092408
262,0.0071934
263,0.0067507
264,0.0051453
265,0.007754
266,0.0056054
267,0.0069876
268,0.0068906
269,0.0070027
270,0.0093774
271,0.0045401
272,0.0074214
273,0.0064958
274,0.0130982
275,0.0118418
276,0.00465
277,0.005939
278,0.0129334
279,0.0118865
280,0.0079003
281,0.0078018
282,0.0031323
283,0.0043772
284,0.006606
285,0.0070336
286,0.0068603
287,0.0069999
288,0.0083801
289,0.0054723
290,0.0077699
291,0.0061735
292,0.006949
293,0.0070943
294,0.0068917
295,0.0080055
296,0.0056935
297,0.0079507
298,0.0059619
299,0.0070444
