Index,frame
0,96.0929
1,96.6309
2,98.6541
3,97.8903
4,96.5954
5,96.1914
6,95.6828
7,95.8415
8,103.562
9,102.582
10,101.639
11,102.007
12,101.806
13,101.922
14,104.603
15,104.475
16,111.88
17,110.644
18,110.821
19,110.421
20,110.19
21,110.517
22,111.03
23,110.828
24,111.54
25,110.277
26,111.518
27,110.463
28,110.53
29,110.72
30,110.299
31,111.99
32,111.762
33,131.733
34,136.786
35,143.884
36,144.334
37,138.453
38,137.189
39,136.983
40,139.938
41,139.901
42,139.375
43,138.852
44,137.283
45,131.767
46,133.391
47,135.533
48,135.121
49,133.588
50,134.164
51,134.106
52,134.551
53,135.382
54,135.787
55,134.033
56,135.765
57,135.211
58,135.627
59,134.432
60,137.152
61,136.092
62,134.388
63,135.121
64,135.115
65,136.04
66,135.663
67,135.266
68,134.758
69,134.134
70,133.143
71,133.088
72,134.496
73,134.83
74,135.654
75,134.199
76,136.374
77,137.292
78,134.91
79,135.457
80,136.336
81,135.508
82,134.582
83,135.343
84,133.867
85,135.464
86,135.363
87,135.063
88,135.372
89,134.004
90,135.573
91,134.835
92,135.668
93,136.712
94,136.387
95,135.342
96,137.575
97,141.95
98,141.87
99,141.567
100,139.908
101,136.598
102,137.419
103,126.86
104,127.822
105,134.026
106,132.634
107,129.708
108,130.552
109,132.244
110,130.906
111,132.813
112,131.486
113,130.7
114,130.511
115,131.836
116,128.76
117,127.803
118,127.11
119,126.827
120,126.531
121,126.436
122,127.483
123,125.972
124,126.786
125,127.01
126,126.857
127,127.245
128,125.985
129,124.251
130,125.787
131,127.081
132,126.738
133,126.698
134,127.071
135,127.4
136,127.801
137,126.991
138,125.6
139,125.107
140,124.933
141,125.464
142,127.004
143,127.031
144,127.245
145,126.053
146,126.746
147,127.577
148,127.305
149,127.913
150,125.63
151,127.604
152,127.122
153,127.352
154,126.445
155,127.117
156,127.096
157,125.242
158,126.757
159,124.488
160,126.103
161,129.675
162,128.598
163,139.645
164,117.173
165,117.548
166,118.559
167,120.941
168,119.786
169,118.72
170,118.615
171,117.99
172,118.957
173,119.727
174,118.697
175,119.185
176,121.621
177,122.354
178,122.859
179,123.501
180,124.152
181,123.2
182,122.411
183,123.45
184,124.44
185,122.896
186,121.483
187,121.537
188,122.695
189,124.874
190,124.391
191,123.174
192,120.524
193,120.518
194,121.379
195,121.959
196,121.739
197,121.701
198,123.681
199,123.38
200,123.519
201,121.198
202,119.486
203,116.121
204,117.546
205,118.613
206,118.466
207,116.471
208,115.056
209,115.976
210,118.616
211,116.749
212,113.68
213,111.666
214,110.986
215,110.839
216,109.85
217,111.958
218,110.423
219,112.685
220,112.147
221,111.782
222,111.383
223,105.06
224,123.693
225,123.414
226,122.399
227,121.497
228,121.437
229,118.104
230,114.533
231,115.175
232,115.467
233,115.831
234,116.662
235,116.027
236,115.243
237,115.968
238,115.091
239,115.762
240,115.447
241,115.824
242,115.576
243,114.867
244,114.994
245,114.563
246,116.982
247,115.306
248,115.843
249,116.883
250,115.856
251,114.698
252,113.702
253,114.682
254,114.601
255,115.13
256,115.281
257,115.053
258,115.409
259,114.851
260,114.287
261,117.077
262,116.528
263,120.729
264,119.429
265,118.971
266,117.584
267,119.26
268,120.643
269,120.105
270,119.356
271,119.827
272,123.438
273,125.497
274,127.132
275,127.233
276,128.136
277,126.048
278,126.894
279,127.316
280,126.183
281,125.852
282,126.329
283,136.097
284,134.89
285,134.17
286,130.319
287,129.203
288,131.76
289,136.585
290,141.647
291,141.336
292,139.788
293,139.733
294,139.1
295,139.056
296,139.289
297,138.301
298,139.987
299,138.789
