Index,frame
0,141.719
1,140.012
2,138.837
3,135.171
4,132.984
5,131.583
6,129.149
7,128.536
8,128.798
9,130.126
10,130.533
11,131.054
12,131.115
13,130.877
14,130.533
15,131.005
16,130.068
17,130.846
18,130.682
19,130.977
20,130.892
21,131.566
22,130.247
23,130.72
24,131.945
25,131.331
26,131.084
27,130.689
28,131.079
29,130.928
30,131.638
31,130.389
32,131.549
33,130.997
34,130.634
35,130.932
36,130.692
37,130.882
38,131.001
39,131.774
40,131.478
41,131.662
42,129.783
43,130.841
44,131.162
45,130.633
46,130.848
47,131.1
48,131.378
49,131.639
50,131.586
51,130.438
52,134.524
53,132.928
54,131.956
55,130.906
56,130.116
57,130.227
58,130.612
59,131.477
60,132.838
61,134.161
62,135.491
63,139.324
64,141.848
65,144.241
66,146.594
67,146.507
68,146.112
69,144.562
70,144.233
71,145.065
72,143.508
73,143.808
74,144.013
75,144.009
76,144.906
77,144.099
78,144.487
79,143.833
80,144.086
81,143.304
82,145.017
83,143.724
84,142.973
85,142.073
86,142.408
87,142.208
88,142.377
89,143.544
90,142.863
91,144.572
92,143.828
93,142.921
94,143.463
95,142.548
96,144.249
97,143.805
98,142.847
99,143.214
100,144.154
101,143.216
102,145.493
103,142.106
104,142.396
105,144.101
106,143.627
107,144.106
108,143.265
109,142.652
110,142.579
111,144.444
112,143.007
113,143.318
114,144.1
115,143.036
116,145.021
117,144.814
118,144.033
119,143.078
120,144.066
121,143.954
122,143.063
123,144.339
124,143.917
125,143.064
126,143.799
127,145.086
128,144.696
129,143.924
130,143.023
131,141.623
132,143.401
133,144.349
134,144.759
135,143.556
136,144.541
137,143.09
138,144.301
139,143.127
140,143.096
141,144.298
142,143.827
143,144.342
144,144.164
145,145.465
146,144.909
147,146.439
148,145.148
149,144.36
150,144.197
151,144.322
152,143.529
153,145.502
154,145.424
155,144.769
156,144.216
157,143.437
158,144.455
159,144.218
160,144.176
161,144.905
162,142.723
163,146.124
164,145.713
165,144.313
166,143.639
167,144.798
168,144.317
169,145.83
170,145.472
171,144.002
172,144.879
173,143.64
174,143.566
175,143.928
176,143.428
177,143.13
178,143.269
179,143.394
180,142.285
181,144.229
182,143.225
183,143.564
184,142.834
185,141.779
186,141.712
187,143.068
188,142.643
189,143.002
190,144.855
191,145.785
192,145.207
193,143.34
194,143.933
195,143.731
196,143.128
197,144.237
198,143.461
199,144.759
200,145.069
201,144.239
202,143.926
203,144.203
204,144.63
205,144.421
206,144.639
207,143.665
208,144.42
209,144.102
210,144.919
211,143.432
212,144.832
213,143.185
214,143.894
215,144.762
216,143.414
217,144.716
218,143.926
219,144.759
220,143.125
221,143.558
222,144.335
223,143.797
224,143.118
225,143.863
226,144.984
227,143.025
228,144.045
229,142.817
230,143.194
231,143.422
232,144.176
233,143.852
234,142.196
235,144.532
236,144.171
237,145.135
238,144.237
239,143.71
240,144.363
241,143.836
242,145.831
243,144.125
244,145.145
245,146.752
246,146.518
247,144.099
248,145.164
249,145.412
250,143.195
251,144.582
252,143.284
253,144.437
254,143.132
255,144.777
256,144.234
257,144.202
258,144.404
259,144.224
260,144.113
261,142.76
262,143.418
263,143.071
264,144.006
265,143.185
266,143.192
267,143.937
268,143.773
269,141.958
270,121.365
271,121.625
272,122.137
273,122.719
274,123.253
275,122.817
276,124.314
277,124.319
278,119.349
279,118.161
280,119.275
281,120.216
282,120.521
283,120.205
284,120.393
285,119.995
286,120.015
287,120.403
288,120.284
289,120.78
290,120.285
291,120.454
292,120.015
293,120.883
294,121.623
295,120.413
296,119.858
297,119.671
298,120.252
299,121.246
