Index,frame,SSAO,HBAO,GTAO,,7.242476667,13.77530533,7.079581
0,0.0162496,16.2496,28.1505,16.6218,,,,
1,0.012831,12.831,4.1287,5.0355,,,,
2,0.0011164,1.1164,12.0049,3.5713,,,,
3,0.0044765,4.4765,11.4209,9.1769,,,,
4,0.0088481,8.8481,11.5209,15.3365,,,,
5,0.007535,7.535,13.3071,10.1002,,,,
6,0.0062637,6.2637,13.8074,7.9896,,,,
7,0.0053382,5.3382,16.0765,2.2087,,,,
8,0.0088665,8.8665,24.6885,4.0336,,,,
9,0.0049764,4.9764,6.4544,6.8668,,,,
10,0.006997,6.997,13.7966,7.0071,,,,
11,0.0069049,6.9049,7.2053,6.8932,,,,
12,0.006859,6.859,13.6478,6.9521,,,,
13,0.0087189,8.7189,13.6061,11.4901,,,,
14,0.0051374,5.1374,16.3249,4.2925,,,,
15,0.0093149,9.3149,11.346,6.4937,,,,
16,0.0058626,5.8626,17.1611,5.3928,,,,
17,0.0064119,6.4119,11.4558,7.7984,,,,
18,0.0062188,6.2188,16.7699,6.0353,,,,
19,0.0070148,7.0148,10.622,7.0241,,,,
20,0.0070431,7.0431,13.3729,6.9028,,,,
21,0.0069011,6.9011,14.2739,6.925,,,,
22,0.0068771,6.8771,13.7916,7.0014,,,,
23,0.0074975,7.4975,16.6346,6.8728,,,,
24,0.0129104,12.9104,10.7443,8.971,,,,
25,0.001354,1.354,16.2512,6.2794,,,,
26,0.0084493,8.4493,10.4633,7.291,,,,
27,0.0096929,9.6929,17.5084,5.2623,,,,
28,0.005975,5.975,10.9898,6.9656,,,,
29,0.0025715,2.5715,12.3104,6.9658,,,,
30,0.0071904,7.1904,13.8839,6.9285,,,,
31,0.0094793,9.4793,13.9871,8.2714,,,,
32,0.007774,7.774,17.2753,5.6793,,,,
33,0.0075714,7.5714,9.5489,7.5819,,,,
34,0.0027556,2.7556,17.5462,6.1828,,,,
35,0.008969,8.969,10.1929,7.0142,,,,
36,0.0086629,8.6629,13.562,6.9668,,,,
37,0.0032127,3.2127,14.6333,6.9493,,,,
38,0.0071769,7.1769,13.5249,9.976,,,,
39,0.0085948,8.5948,14.1694,5.8362,,,,
40,0.0087437,8.7437,14.0366,5.0074,,,,
41,0.0089579,8.9579,12.9781,6.9553,,,,
42,0.0103007,10.3007,17.3788,8.3763,,,,
43,0.0060846,6.0846,14.1136,5.4162,,,,
44,0.0058905,5.8905,13.0346,7.2082,,,,
45,0.0070501,7.0501,10.6145,6.685,,,,
46,0.0070908,7.0908,13.9702,6.9413,,,,
47,0.0065598,6.5598,13.0403,7.0035,,,,
48,0.0093584,9.3584,16.0702,6.9051,,,,
49,0.0080218,8.0218,14.7027,6.9267,,,,
50,0.0045408,4.5408,13.8873,7.0777,,,,
51,0.0075479,7.5479,10.4957,9.0854,,,,
52,0.0068037,6.8037,16.1332,8.9158,,,,
53,0.0089044,8.9044,11.5586,8.3165,,,,
54,0.0103873,10.3873,13.2991,3.0412,,,,
55,0.0012668,1.2668,14.2035,5.2296,,,,
56,0.0056553,5.6553,14.1487,8.7616,,,,
57,0.0070619,7.0619,13.6855,5.1345,,,,
58,0.006939,6.939,14.099,8.066,,,,
59,0.0085884,8.5884,15.2112,6.0136,,,,
60,0.007303,7.303,13.0352,8.214,,,,
61,0.0073304,7.3304,13.5699,11.6845,,,,
62,0.0078249,7.8249,13.8288,1.9815,,,,
63,0.0090858,9.0858,13.8419,8.5481,,,,
64,0.0045249,4.5249,17.115,4.2947,,,,
65,0.0039151,3.9151,10.4052,9.1587,,,,
66,0.0078275,7.8275,17.0882,9.3606,,,,
67,0.0064509,6.4509,12.8956,7.2019,,,,
68,0.0064451,6.4451,13.5879,1.8838,,,,
69,0.0069377,6.9377,12.9439,9.2849,,,,
70,0.0077792,7.7792,12.4522,11.9456,,,,
71,0.0061377,6.1377,13.5774,3.7462,,,,
72,0.0068695,6.8695,13.3753,2.9014,,,,
73,0.0080642,8.0642,17.7036,6.875,,,,
74,0.0059594,5.9594,11.929,14.2546,,,,
75,0.0073334,7.3334,14.0351,3.6622,,,,
76,0.0064875,6.4875,12.2939,4.6764,,,,
77,0.0078454,7.8454,18.9081,10.3167,,,,
78,0.0060975,6.0975,11.6427,15.3689,,,,
79,0.007681,7.681,9.373,6.5429,,,,
80,0.0064881,6.4881,17.3721,4.5071,,,,
81,0.0072627,7.2627,10.2331,3.2282,,,,
82,0.0062934,6.2934,13.7705,9.141,,,,
83,0.0069551,6.9551,14.0893,12.212,,,,
84,0.0080977,8.0977,18.5336,4.9876,,,,
85,0.0071605,7.1605,9.9566,1.427,,,,
86,0.0075303,7.5303,20.2948,7.7755,,,,
87,0.0050359,5.0359,7.2142,6.0672,,,,
88,0.0089826,8.9826,13.7119,6.938,,,,
89,0.0062165,6.2165,16.0484,6.9014,,,,
90,0.0056711,5.6711,11.7062,7.0159,,,,
91,0.0094456,9.4456,13.652,8.5299,,,,
92,0.0067809,6.7809,14.3107,5.5868,,,,
93,0.0048547,4.8547,15.7216,7.4861,,,,
94,0.0068348,6.8348,12.6659,6.975,,,,
95,0.0088148,8.8148,11.6907,7.4535,,,,
96,0.0049049,4.9049,15.2922,5.6796,,,,
97,0.0090103,9.0103,11.6196,7.9794,,,,
98,0.0078505,7.8505,15.2024,5.8443,,,,
99,0.0039187,3.9187,12.4091,7.0663,,,,
100,0.007137,7.137,18.2353,6.9776,,,,
101,0.0069536,6.9536,9.1764,6.8835,,,,
102,0.0092287,9.2287,16.4124,13.851,,,,
103,0.0082267,8.2267,14.488,1.2295,,,,
104,0.0061244,6.1244,9.6681,7.0902,,,,
105,0.0041105,4.1105,14.0793,7.9148,,,,
106,0.0099477,9.9477,13.1008,4.6277,,,,
107,0.0207105,20.7105,17.0631,9.8731,,,,
108,0.0012139,1.2139,11.1491,4.0684,,,,
109,0.0026624,2.6624,16.4888,8.6874,,,,
110,0.0089539,8.9539,13.18,7.6807,,,,
111,0.0049222,4.9222,11.1458,6.3632,,,,
112,0.0071177,7.1177,13.9454,4.8955,,,,
113,0.0070339,7.0339,13.8339,13.6768,,,,
114,0.0068912,6.8912,13.8558,5.7764,,,,
115,0.0069159,6.9159,13.7781,7.0356,,,,
116,0.0086538,8.6538,22.1179,2.949,,,,
117,0.0070025,7.0025,13.0763,9.0719,,,,
118,0.0053185,5.3185,7.8982,5.8075,,,,
119,0.0080936,8.0936,16.8237,4.3198,,,,
120,0.0058073,5.8073,8.8032,6.8796,,,,
121,0.0089022,8.9022,13.5122,7.0554,,,,
122,0.006433,6.433,15.751,9.0907,,,,
123,0.0070316,7.0316,11.8858,6.259,,,,
124,0.007632,7.632,13.5869,6.7869,,,,
125,0.0045571,4.5571,15.2654,5.5702,,,,
126,0.0093126,9.3126,14.9085,6.955,,,,
127,0.0045143,4.5143,13.3501,10.7336,,,,
128,0.00985,9.85,11.818,8.1059,,,,
129,0.0040136,4.0136,13.6238,3.0822,,,,
130,0.0072335,7.2335,13.4543,5.8175,,,,
131,0.0067895,6.7895,17.2103,9.1736,,,,
132,0.0094671,9.4671,10.302,6.3419,,,,
133,0.0087058,8.7058,17.1663,5.6269,,,,
134,0.0093427,9.3427,13.5183,6.7272,,,,
135,0.0117653,11.7653,12.1978,6.9737,,,,
136,0.005282,5.282,11.408,7.9514,,,,
137,0.0041359,4.1359,14.0355,5.9911,,,,
138,0.0068548,6.8548,15.9809,7.6222,,,,
139,0.0188534,18.8534,11.3456,6.0819,,,,
140,0.0101351,10.1351,13.5202,8.5713,,,,
141,0.0094278,9.4278,17.7956,11.2376,,,,
142,0.0031668,3.1668,9.809,6.8728,,,,
143,0.0087481,8.7481,17.4449,1.1559,,,,
144,0.0052689,5.2689,13.0137,7.0224,,,,
145,0.0091927,9.1927,11.3862,8.3042,,,,
146,0.0048432,4.8432,13.7937,5.4458,,,,
147,0.0081894,8.1894,13.2847,7.5486,,,,
148,0.0056358,5.6358,13.847,6.4337,,,,
149,0.0079871,7.9871,13.7719,8.8952,,,,
150,0.0056038,5.6038,21.7222,10.8219,,,,
