Index,frame
0,139.272
1,139.786
2,141.589
3,141.711
4,141.337
5,142.385
6,145.067
7,144.533
8,144.072
9,145.183
10,144.411
11,144.034
12,143.983
13,144.046
14,144.01
15,143.273
16,139.557
17,136.938
18,136.318
19,134.691
20,134.375
21,135.226
22,135.735
23,135.163
24,135.016
25,135.016
26,135.052
27,135.036
28,134.993
29,135.249
30,134.3
31,135.67
32,135.039
33,134.388
34,131.741
35,131.943
36,132.638
37,132.904
38,132.232
39,131.794
40,133.477
41,132.977
42,132.96
43,135.868
44,134.522
45,132.956
46,132.942
47,132.9
48,132.345
49,133.681
50,132.893
51,132.985
52,132.289
53,132.914
54,133.169
55,133.03
56,132.936
57,132.187
58,133.682
59,133.499
60,135.05
61,134.026
62,132.845
63,132.879
64,131.912
65,130.602
66,130.831
67,130.922
68,130.928
69,130.483
70,130.943
71,130.274
72,131.023
73,130.186
74,129.837
75,131.544
76,134.749
77,137.275
78,137.464
79,139.735
80,139.204
81,139.898
82,138.835
83,139.225
84,136.87
85,138.504
86,139.358
87,138.501
88,139.379
89,139.277
90,140.073
91,138.5
92,138.213
93,140.02
94,143.342
95,142.805
96,141.923
97,141.675
98,141.944
99,142.998
100,140.987
101,140.655
102,141.648
103,141.655
104,141.629
105,140.997
106,141.628
107,140.868
108,142.274
109,140.728
110,140.584
111,141.246
112,142.403
113,141.653
114,142.207
115,141.605
116,141.626
117,141.794
118,141.083
119,141.698
120,141.698
121,142.289
122,141.787
123,142.428
124,143.177
125,143.989
126,144.043
127,142.796
128,143.754
129,144.509
130,143.938
131,144.695
132,143.247
133,144.892
134,145.274
135,143.956
136,143.539
137,144.076
138,144.532
139,143.713
140,144.872
141,143.545
142,144.317
143,143.262
144,146.331
145,144.219
146,143.967
147,143.924
148,142.776
149,144.092
150,144.022
151,144.839
152,144.828
153,143.914
154,143.428
155,143.893
156,142.951
157,143.982
158,144.446
159,143.965
160,144.658
161,144.25
162,144.017
163,143.284
164,142.587
165,144.296
166,143.991
167,144.862
168,143.191
169,144.926
170,145.123
171,144.36
172,143.92
173,144.014
174,143.975
175,143.977
176,144.043
177,144.178
178,144.571
179,143.962
180,143.967
181,143.996
182,143.27
183,143.971
184,143.949
185,144.623
186,143.155
187,145.151
188,144.235
189,144.091
190,143.985
191,144.062
192,144.73
193,143.73
194,142.633
195,143.343
196,144.568
197,144.009
198,143.957
199,143.545
200,144.03
201,144.468
202,144.178
203,144.893
204,143.924
205,144.67
206,143.102
207,144.93
208,145.176
209,143.949
210,143.512
211,144.045
212,144.416
213,143.38
214,144.6
215,144.023
216,143.906
217,142.865
218,143.238
219,144.037
220,144.037
221,144.684
222,143.298
223,144.036
224,144.85
225,144.365
226,142.556
227,142.465
228,144.857
229,141.553
230,141.619
231,141.685
232,141.025
233,141.688
234,141.003
235,140.481
236,140.733
237,141.426
238,141.65
239,141.077
240,141.679
241,141.622
242,142.307
243,141.018
244,141.624
245,141.675
246,142.525
247,141.631
248,140.594
249,139.609
250,140.84
251,141.607
252,141.622
253,141.161
254,143.39
255,142.298
256,141.647
257,141.636
258,141.645
259,141.897
260,141.617
261,140.452
262,140.701
263,141.249
264,142.059
265,141.621
266,141.89
267,141.659
268,141.189
269,141.694
270,141.255
271,140.345
272,141.628
273,142.336
274,141.596
275,141.704
276,142.795
277,142.057
278,142.42
279,141.017
280,141.672
281,141.718
282,142.352
283,141.974
284,142.214
285,141.608
286,142.342
287,143.105
288,140.999
289,143.644
290,143.999
291,143.989
292,144.652
293,143.977
294,144.631
295,144.414
296,144.944
297,144.742
298,143.447
299,144.576
