Index,frame
0,105.563
1,106.558
2,106.747
3,106.325
4,105.202
5,104.012
6,102.656
7,102.981
8,102.783
9,101.535
10,100.465
11,100.347
12,101.226
13,120.483
14,120.638
15,120.314
16,120.258
17,125.705
18,124.699
19,123.324
20,124.042
21,124.921
22,127.341
23,129.193
24,129.014
25,128.282
26,127.712
27,126.407
28,126.702
29,127.489
30,128.171
31,125.827
32,123.785
33,125.872
34,124.656
35,122.422
36,122.333
37,123.31
38,123.81
39,123.642
40,123.975
41,123.793
42,123.518
43,123.45
44,123.385
45,123.434
46,123.401
47,122.822
48,123.419
49,123.699
50,123.41
51,124.816
52,124.179
53,123.371
54,122.978
55,123.452
56,124.241
57,124.78
58,122.959
59,123.402
60,126.74
61,125.428
62,125.154
63,125.77
64,116.722
65,119.031
66,118.367
67,116.545
68,117.421
69,120.213
70,121.632
71,121.918
72,121.684
73,122.08
74,121.784
75,122.157
76,121.479
77,121.662
78,121.232
79,120.802
80,120.95
81,121.144
82,120.874
83,120.19
84,121.23
85,124.585
86,124.194
87,123.191
88,121.642
89,121.525
90,120.942
91,121.816
92,122.046
93,120.904
94,120.889
95,122.599
96,123.527
97,122.157
98,121.667
99,121.168
100,121.83
101,121.287
102,121.645
103,121.686
104,121.711
105,121.698
106,121.277
107,122.317
108,121.369
109,121.667
110,121.199
111,121.895
112,121.682
113,121.779
114,122.144
115,121.661
116,121.671
117,121.476
118,122.099
119,121.188
120,121.672
121,121.69
122,121.694
123,121.692
124,133.544
125,132.174
126,135.526
127,137.398
128,136.33
129,134.482
130,135.213
131,135.168
132,135.22
133,134.477
134,135.03
135,134.974
136,135.246
137,134.82
138,134.94
139,136.161
140,135.872
141,135.696
142,136.399
143,136.889
144,135.344
145,137.846
146,137.848
147,139.428
148,140.115
149,139.596
150,140.94
151,141.887
152,143.253
153,142.535
154,144.481
155,144.205
156,142.301
157,141.392
158,142.033
159,144.73
160,143.615
161,144.576
162,143.966
163,143.975
164,143.976
165,143.324
166,144.611
167,143.961
168,144.353
169,143.68
170,144.666
171,144.004
172,143.935
173,144
174,143.363
175,143.977
176,144.022
177,144.33
178,143.449
179,144.746
180,143.447
181,143.965
182,142.856
183,142.976
184,143.97
185,144.025
186,143.948
187,143.322
188,143.921
189,144.734
190,143.98
191,144.033
192,143.034
193,144.571
194,143.962
195,143.559
196,143.349
197,144.803
198,144.021
199,142.988
200,143.986
201,143.187
202,143.976
203,143.969
204,145.19
205,143.241
206,144.373
207,143.276
208,143.975
209,143.584
210,143.991
211,144.731
212,143.998
213,144.735
214,143.175
215,144.76
216,145.82
217,146.564
218,145.444
219,143.22
220,143.639
221,143.922
222,144.033
223,143.302
224,143.973
225,143.917
226,143.992
227,143.21
228,143.184
229,144.443
230,144.016
231,144.004
232,144.042
233,144
234,144.651
235,144.017
236,143.363
237,143.996
238,144.586
239,144.041
240,144.544
241,144.07
242,145.265
243,145.061
244,144.001
245,143.304
246,142.08
247,143.379
248,142.957
249,141.679
250,143.595
251,143.998
252,145.011
253,144.025
254,143.284
255,143.414
256,144.691
257,144.004
258,144.585
259,144.133
260,143.306
261,144.127
262,144.028
263,143.314
264,144.054
265,144.695
266,144.029
267,144.285
268,143.12
269,144.172
270,144.081
271,144.048
272,144.001
273,144.078
274,144.887
275,144.004
276,143.991
277,144.055
278,141.73
279,142.775
280,144.743
281,144.006
282,144.002
283,144.656
284,144.021
285,144.691
286,144.008
287,144.857
288,144.919
289,143.92
290,143.282
291,143.149
292,144.033
293,143.927
294,143.988
295,143.445
296,144.6
297,142.964
298,143.998
299,141.907
