Index,frame
0,134.315
1,139.119
2,138.721
3,143.177
4,142.2
5,141.187
6,139.992
7,147.226
8,146.065
9,144.613
10,143.342
11,142.018
12,142.376
13,148.594
14,147.553
15,146.459
16,149.879
17,149.221
18,147.516
19,145.586
20,144.562
21,149.521
22,147.332
23,146.208
24,144.125
25,145.45
26,143.141
27,146.655
28,146.754
29,145.184
30,144.197
31,144.374
32,145.031
33,144.337
34,144.529
35,144.574
36,146.759
37,143.886
38,143.171
39,145.161
40,144.269
41,144.999
42,142.386
43,143.694
44,143.545
45,144.502
46,143.878
47,143.922
48,144.04
49,144.528
50,144.033
51,144.143
52,144.413
53,143.813
54,144.05
55,143.757
56,143.964
57,144.366
58,143.5
59,144.8
60,144.56
61,144.893
62,144.352
63,144.803
64,144.699
65,144.358
66,144.3
67,143.919
68,144.048
69,144.093
70,144.015
71,144.039
72,143.805
73,144.304
74,144.469
75,144.206
76,143.868
77,144.01
78,143.445
79,144.084
80,144.243
81,143.978
82,143.018
83,143.273
84,144.269
85,143.358
86,144.824
87,143.453
88,144.395
89,143.113
90,144.028
91,144.401
92,143.499
93,144.526
94,144.098
95,144.049
96,143.775
97,144.659
98,144.81
99,144.095
100,144.911
101,144.072
102,146.125
103,144.923
104,144.436
105,142.456
106,144.364
107,143.024
108,144.032
109,141.206
110,142.754
111,144.054
112,144.054
113,144.153
114,143.768
115,144.366
116,143.539
117,144.295
118,144.761
119,144.222
120,145.109
121,144.055
122,143.897
123,143.923
124,143.743
125,143.375
126,143.901
127,143.88
128,143.99
129,144
130,143.886
131,144.201
132,143.901
133,144.576
134,143.224
135,144.054
136,144.135
137,144.131
138,144.344
139,144.069
140,143.436
141,141.485
142,144.547
143,143.911
144,143.76
145,143.699
146,141.028
147,143.28
148,143.182
149,143.14
150,143.81
151,141.481
152,142.765
153,144.084
154,142.361
155,143.478
156,142.605
157,142.75
158,143.101
159,135.969
160,136.839
161,137.328
162,139.198
163,138.603
164,139.089
165,140.092
166,139.033
167,140.442
168,138.95
169,142.178
170,140.395
171,139.084
172,139.35
173,139.5
174,139.449
175,139.03
176,139.423
177,138.936
178,139.245
179,138.478
180,139.44
181,138.728
182,139.215
183,139.04
184,139.557
185,139.707
186,139.031
187,139.48
188,139.299
189,139.515
190,139.756
191,139.167
192,139.587
193,139.246
194,139.996
195,138.863
196,139.176
197,139.446
198,139.425
199,139.258
200,139.56
201,141.82
202,139.537
203,140.164
204,139.578
205,140.248
206,142.175
207,140.405
208,139.766
209,140.733
210,139.513
211,141.833
212,140.987
213,138.869
214,141.769
215,139.681
216,140.678
217,140.338
218,140.358
219,147.552
220,146.473
221,146.223
222,144.393
223,144.797
224,143.966
225,144.645
226,144.331
227,144.035
228,144.402
229,143.948
230,144.071
231,144.081
232,143.95
233,143.782
234,143.893
235,144.337
236,144.304
237,144.14
238,143.809
239,144.916
240,143.551
241,144.749
242,144.265
243,144.307
244,143.839
245,144.09
246,144.419
247,143.896
248,144.005
249,143.76
250,143.892
251,143.543
252,143.876
253,144.222
254,143.862
255,144.622
256,143.599
257,143.796
258,143.835
259,144.045
260,144.225
261,143.883
262,144.046
263,144
264,144.07
265,143.83
266,143.927
267,143.593
268,144.323
269,144.204
270,144.091
271,144.147
272,143.857
273,144.421
274,144.14
275,144.232
276,144.147
277,144.059
278,143.376
279,144.192
280,144.215
281,144.056
282,144.066
283,143.787
284,144.518
285,143.446
286,143.933
287,143.784
288,143.989
289,144.013
290,144.034
291,143.81
292,143.871
293,143.908
294,143.968
295,143.818
296,143.878
297,144.063
298,144.196
299,143.594
