Index,frame
0,140.505
1,141.13
2,143.328
3,143.91
4,143.29
5,142.603
6,143.435
7,143.97
8,145
9,144.538
10,144.681
11,144.022
12,144.144
13,143.876
14,144.072
15,144.623
16,144.354
17,144.337
18,143.5
19,144.396
20,143.352
21,144.03
22,143.435
23,143.878
24,143.265
25,144.465
26,143.91
27,143.939
28,144.282
29,143.702
30,143.872
31,144.013
32,144.236
33,143.942
34,143.9
35,144.506
36,143.89
37,144.043
38,143.958
39,144.224
40,144.151
41,144.045
42,144.602
43,143.441
44,143.966
45,143.451
46,143.866
47,144.307
48,144.272
49,143.288
50,143.876
51,143.983
52,143.613
53,143.865
54,143.392
55,144.37
56,143.408
57,144.13
58,143.953
59,143.382
60,147.729
61,147.061
62,144.911
63,144.053
64,144.399
65,144.644
66,145.277
67,144.073
68,143.899
69,144.063
70,143.842
71,143.71
72,142.989
73,143.685
74,143.611
75,143.592
76,144.189
77,143.68
78,143.492
79,141.502
80,144.055
81,143.389
82,144.266
83,143.192
84,144.125
85,144.219
86,143.443
87,144.06
88,143.828
89,144.309
90,142.914
91,144.073
92,144.087
93,144.178
94,143.545
95,143.088
96,142.916
97,143.84
98,143.718
99,143.91
100,144.138
101,143.678
102,144.204
103,144.346
104,143.543
105,144.401
106,143.246
107,144.318
108,143.52
109,144.821
110,143.509
111,143.873
112,143.567
113,144.141
114,144.47
115,143.275
116,144.338
117,143.004
118,144.016
119,144.7
120,143.742
121,142.759
122,142.839
123,144.016
124,144.131
125,144.787
126,143.93
127,143.767
128,143.79
129,143.781
130,143.64
131,144.061
132,144.864
133,143.959
134,144.185
135,143.514
136,143.077
137,143.773
138,144.889
139,146.189
140,144.622
141,144.609
142,144.069
143,145.019
144,143.621
145,143.331
146,144.431
147,143.064
148,144.081
149,143.971
150,145.285
151,143.734
152,144.043
153,144.054
154,144.533
155,144.576
156,145.339
157,142.977
158,143.99
159,144.077
160,142.817
161,143.75
162,143.019
163,143.97
164,143.002
165,143.451
166,144.566
167,143.93
168,144.308
169,144.034
170,143.51
171,143.713
172,144.939
173,143.684
174,144.109
175,143.248
176,143.308
177,145.076
178,143.525
179,143.982
180,143.96
181,144.959
182,145.043
183,143.729
184,143.551
185,143.929
186,143.911
187,144.067
188,144.001
189,143.129
190,144.291
191,143.378
192,144.156
193,143.774
194,143.228
195,144.948
196,144.475
197,144.352
198,143.432
199,144.333
200,143.744
201,143.787
202,143.941
203,143.755
204,144.798
205,143.238
206,143.94
207,144.132
208,144.331
209,143.937
210,143.052
211,143.321
212,143.851
213,143.928
214,143.473
215,144.145
216,143.378
217,145.239
218,144.178
219,143.462
220,144.558
221,144.31
222,145.103
223,143.739
224,145.658
225,144.476
226,144.046
227,143.202
228,144.163
229,143.788
230,144.985
231,144.482
232,143.232
233,144.061
234,143.987
235,145.114
236,143.683
237,143.414
238,144.461
239,143.591
240,143.701
241,143.958
242,144.062
243,143.512
244,144.759
245,142.74
246,143.468
247,143.454
248,143.995
249,144.771
250,143.88
251,144.721
252,143.678
253,144.512
254,144.398
255,143.777
256,144.138
257,144.22
258,144.672
259,143.627
260,144.107
261,143.37
262,142.959
263,143.689
264,144.059
265,144.776
266,144.144
267,144.856
268,143.11
269,144.07
270,144.858
271,144.645
272,143.942
273,143.785
274,143.283
275,142.759
276,144.526
277,143.052
278,143.833
279,144.108
280,144.621
281,144
282,144.04
283,144.566
284,143.853
285,143.185
286,143.906
287,144.897
288,143.97
289,144.292
290,143.461
291,143.962
292,144.043
293,143.213
294,143.995
295,143.93
296,145.181
297,143.857
298,144.094
299,144.299
