Index,frame
0,91.8408
1,93.0236
2,93.4101
3,91.7516
4,93.0026
5,92.8296
6,92.5726
7,92.7125
8,92.8988
9,93.064
10,92.7694
11,92.6223
12,92.9788
13,92.6893
14,92.6306
15,92.7149
16,92.7395
17,92.8924
18,92.7138
19,91.8351
20,93.046
21,93.4557
22,92.5023
23,92.1833
24,92.8233
25,93.8174
26,92.6015
27,93.0201
28,93.0611
29,92.9827
30,92.9623
31,92.49
32,92.2319
33,92.8033
34,93.4611
35,92.4975
36,92.8674
37,92.6461
38,92.5549
39,92.8954
40,92.6462
41,93.379
42,92.4273
43,92.6189
44,92.8071
45,92.6719
46,92.7433
47,92.7351
48,93.481
49,93.1381
50,93.1512
51,92.6291
52,92.9294
53,92.7974
54,92.7184
55,92.2139
56,92.9917
57,93.3645
58,92.4646
59,93.0803
60,93.8449
61,92.6666
62,93.028
63,93.9845
64,92.6615
65,92.9675
66,93.1037
67,92.9525
68,92.3022
69,92.7356
70,92.7875
71,92.77
72,91.5774
73,92.7442
74,92.9127
75,92.9256
76,93.0301
77,91.4213
78,92.4003
79,93.731
80,92.4976
81,92.7653
82,93.1636
83,93.7531
84,92.8697
85,93.0453
86,93.3144
87,92.7078
88,92.9642
89,93.0099
90,92.5399
91,92.7709
92,93.4506
93,92.7413
94,92.9304
95,93.6633
96,91.9741
97,93.0535
98,93.1017
99,93.0167
100,92.9913
101,92.7743
102,93.1353
103,92.9687
104,92.7114
105,92.7331
106,92.7794
107,92.8829
108,92.7456
109,92.479
110,92.5913
111,93.3382
112,92.9609
113,92.7574
114,93.1059
115,93.348
116,92.5453
117,92.4542
118,92.9235
119,92.5877
120,92.5355
121,92.8326
122,92.3417
123,92.5713
124,92.7719
125,92.4126
126,92.3569
127,92.5103
128,93.2565
129,92.3942
130,92.6736
131,92.7853
132,94.0388
133,92.6496
134,92.6466
135,92.5656
136,92.0006
137,94.0366
138,92.6613
139,91.9164
140,92.3376
141,92.0105
142,92.0333
143,91.7482
144,92.0468
145,91.7021
146,91.6169
147,91.5405
148,91.6908
149,91.4473
150,91.2436
151,91.7564
152,91.4426
153,91.4722
154,91.0834
155,91.2932
156,92.1203
157,91.289
158,91.2178
159,91.1623
160,91.1239
161,91.181
162,90.9016
163,90.8412
164,90.7943
165,91.0132
166,90.783
167,90.8472
168,90.8654
169,90.899
170,89.3251
171,90.1077
172,90.5379
173,90.6331
174,90.2325
175,90.6684
176,90.7026
177,90.5519
178,90.5398
179,90.4094
180,90.5564
181,90.3009
182,90.5411
183,90.4342
184,90.1232
185,90.1635
186,90.2253
187,90.0621
188,89.7342
189,90.2121
190,89.8467
191,89.8736
192,89.671
193,89.8921
194,89.7096
195,89.7436
196,90.204
197,89.5938
198,89.8447
199,90.1243
200,89.9333
201,89.924
202,89.8542
203,89.609
204,89.9181
205,89.7772
206,89.8632
207,90.1696
208,89.9522
209,89.9162
210,90.1946
211,89.8648
212,89.699
213,89.4054
214,89.9819
215,89.7897
216,89.6145
217,89.6874
218,89.591
219,89.5721
220,89.5218
221,89.3551
222,89.7693
223,89.5467
224,89.7988
225,89.5321
226,89.2265
227,89.4269
228,89.6074
229,89.6501
230,90.9179
231,90.0694
232,89.3748
233,89.569
234,89.6929
235,89.3603
236,89.3631
237,89.2862
238,89.4874
239,89.6253
240,89.4529
241,89.518
242,89.4304
243,89.4007
244,89.2533
245,89.2114
246,89.3
247,89.1209
248,88.5341
249,89.132
250,87.4064
251,88.6151
252,89.1208
253,89.0618
254,89.0817
255,88.7581
256,88.6884
257,88.8407
258,88.7961
259,87.7076
260,88.6117
261,88.6989
262,88.6868
263,89.0192
264,88.6326
265,88.7918
266,88.5213
267,88.1259
268,88.3623
269,88.4367
270,88.5099
271,88.0714
272,88.44
273,88.6958
274,88.2074
275,88.296
276,88.4486
277,88.0651
278,88.0965
279,88.1218
280,88.0025
281,88.0929
282,87.1695
283,87.9786
284,87.8743
285,87.988
286,88.3241
287,87.986
288,87.6637
289,87.2545
290,85.9567
291,86.4292
292,87.5019
293,85.4091
294,86.6871
295,87.3698
296,87.2767
297,86.7599
298,87.0884
299,86.5583
