Index,frame
0,144.022
1,144.989
2,145.116
3,143.139
4,138.892
5,139.356
6,139.844
7,140.55
8,139
9,139.677
10,139.281
11,140.357
12,139.317
13,139.769
14,140.953
15,139.404
16,140.081
17,139.359
18,141.109
19,140.078
20,139.912
21,139.325
22,138.882
23,139.977
24,138.809
25,139.522
26,139.332
27,139.349
28,139.767
29,139.698
30,138.705
31,139.768
32,140.004
33,139.806
34,140.394
35,139.666
36,141.169
37,139.928
38,139.356
39,141.219
40,139.941
41,139.294
42,139.366
43,140.724
44,139.341
45,139.354
46,139.386
47,139.369
48,139.323
49,140.048
50,139.357
51,138.766
52,139.347
53,139.363
54,139.362
55,139.99
56,139.431
57,140.016
58,139.178
59,139.371
60,140.141
61,139.327
62,139.354
63,140.162
64,145.213
65,145.387
66,144.083
67,144.008
68,144.377
69,143.643
70,144.079
71,143.954
72,143.35
73,143.992
74,144.001
75,143.959
76,143.757
77,144.011
78,144.024
79,143.984
80,144.011
81,144.014
82,144.538
83,144.034
84,144.581
85,144.03
86,143.984
87,143.444
88,144.006
89,144.826
90,144.667
91,143.977
92,143.961
93,144.295
94,144.028
95,144.286
96,143.67
97,143.974
98,143.981
99,144.021
100,144.439
101,144.032
102,143.999
103,143.979
104,143.995
105,143.98
106,143.975
107,143.968
108,144.008
109,144.096
110,144.012
111,144.655
112,143.991
113,144.019
114,143.994
115,144.026
116,144.01
117,144.014
118,144.201
119,144.008
120,144.445
121,144.013
122,144.018
123,143.691
124,143.996
125,144.159
126,144.003
127,143.984
128,143.968
129,144.356
130,144.006
131,143.999
132,144.239
133,143.97
134,144.024
135,144.049
136,144.266
137,143.979
138,143.925
139,144.021
140,143.996
141,144.025
142,144.003
143,143.495
144,144.004
145,143.142
146,144.062
147,144.559
148,143.994
149,143.967
150,143.59
151,144.012
152,143.484
153,143.997
154,143.986
155,144.034
156,144.328
157,143.628
158,144.036
159,143.995
160,144.018
161,144.005
162,143.98
163,144.011
164,143.987
165,144.008
166,144.012
167,144.003
168,143.992
169,144.024
170,143.179
171,143.981
172,143.998
173,143.534
174,143.977
175,143.803
176,144.013
177,143.674
178,144.016
179,143.716
180,143.996
181,143.992
182,144.013
183,144.341
184,144.025
185,143.991
186,143.573
187,143.996
188,143.988
189,144.016
190,143.998
191,144.048
192,144.436
193,143.999
194,143.983
195,143.971
196,144
197,143.532
198,144.059
199,143.725
200,143.998
201,144.007
202,143.682
203,144.497
204,143.473
205,144.851
206,143.97
207,144.016
208,143.979
209,144.021
210,144.423
211,143.985
212,144.538
213,143.237
214,143.643
215,143.175
216,143.924
217,144.387
218,143.977
219,143.998
220,143.973
221,143.977
222,143.401
223,144.019
224,143.989
225,144.002
226,144.002
227,144.015
228,144.009
229,143.975
230,144.83
231,144.009
232,144.018
233,144.485
234,144.038
235,144.214
236,143.972
237,144.293
238,143.977
239,144.264
240,143.965
241,144.035
242,143.634
243,143.883
244,143.995
245,144.004
246,144.388
247,143.974
248,143.984
249,143.562
250,143.964
251,143.973
252,144.001
253,144.017
254,144.007
255,143.997
256,144.029
257,144.459
258,144.002
259,144.268
260,143.976
261,144.012
262,144.305
263,143.998
264,144.518
265,143.936
266,143.985
267,143.964
268,144.014
269,143.97
270,144.011
271,144.029
272,143.984
273,144.749
274,143.936
275,144.805
276,143.819
277,143.984
278,143.99
279,144.008
280,144.017
281,144.048
282,144.605
283,143.984
284,144.01
285,144
286,143.988
287,143.276
288,144.03
289,143.945
290,144
291,143.941
292,143.968
293,144.002
294,143.98
295,143.954
296,143.993
297,144.025
298,143.939
299,143.998
