Index,SSAO-Mean Blur,HBAO-Mean Blur,GTAO-Mean Blur,,SSAO-Box Blur,HBAO-Box Blur,GTAO-Box Blur,,,,,,,,
0,142.524,85.5292,134.315,,144.022,76.5513,141.533,,142.81082,85.60910933,143.1938133,#DIV/0!,143.1596133,89.15542767,144.0040567
1,145.836,85.6366,139.119,,144.989,76.626,143.595,,,,,,,,
2,144.546,85.1647,138.721,,145.116,76.475,143.441,,,,,,,,
3,143.977,85.9714,143.177,,143.139,77.9227,144.045,,,,,,,,
4,140.992,85.0728,142.2,,138.892,79.9432,144.901,,,,,,,,
5,142.057,84.581,141.187,,139.356,82.891,143.358,,,,,,,,
6,143.627,85.0126,139.992,,139.844,83.6302,144.441,,,,,,,,
7,144.945,86.1147,147.226,,140.55,85.2791,143.754,,,,,,,,
8,144.678,85.4565,146.065,,139,87.5855,144.52,,,,,,,,
9,144.874,85.2204,144.613,,139.677,89.0794,144.355,,,,,,,,
10,141.497,85.3629,143.342,,139.281,89.3792,143.945,,,,,,,,
11,142.983,85.0426,142.018,,140.357,89.2201,143.849,,,,,,,,
12,144.938,85.0058,142.376,,139.317,89.6371,144.035,,,,,,,,
13,143.279,85.126,148.594,,139.769,90.6815,144.102,,,,,,,,
14,145.388,85.3146,147.553,,140.953,89.8716,144.095,,,,,,,,
15,144.944,85.1236,146.459,,139.404,89.9583,144.368,,,,,,,,
16,143.966,84.7768,149.879,,140.081,90.5933,142.812,,,,,,,,
17,145.428,85.5006,149.221,,139.359,90.3855,144.244,,,,,,,,
18,144.614,84.7224,147.516,,141.109,90.3644,144.108,,,,,,,,
19,144.638,84.9167,145.586,,140.078,90.5682,144.061,,,,,,,,
20,144.715,84.7612,144.562,,139.912,91.3972,144.255,,,,,,,,
21,145.271,84.5114,149.521,,139.325,91.7769,144.723,,,,,,,,
22,144.517,84.8583,147.332,,138.882,90.6157,144.605,,,,,,,,
23,144.9,85.2931,146.208,,139.977,90.7388,143.751,,,,,,,,
24,144.883,84.5581,144.125,,138.809,90.9369,144.458,,,,,,,,
25,143.976,84.9723,145.45,,139.522,90.8184,144.011,,,,,,,,
26,144.422,84.7656,143.141,,139.332,90.7311,143.379,,,,,,,,
27,144.016,84.8991,146.655,,139.349,91.3936,143.656,,,,,,,,
28,146.288,84.8672,146.754,,139.767,91.3274,144.134,,,,,,,,
29,148.46,84.7207,145.184,,139.698,90.7105,144.002,,,,,,,,
30,147.986,84.7455,144.197,,138.705,90.6199,144.156,,,,,,,,
31,145.44,85.341,144.374,,139.768,91.2702,144.161,,,,,,,,
32,144.183,84.6148,145.031,,140.004,90.3389,144.627,,,,,,,,
33,144.377,84.7623,144.337,,139.806,90.5634,143.998,,,,,,,,
34,144.836,84.8006,144.529,,140.394,90.7028,144.216,,,,,,,,
35,144.193,84.5993,144.574,,139.666,90.3962,144.648,,,,,,,,
36,144.343,85.1269,146.759,,141.169,90.8991,143.954,,,,,,,,
37,144.005,84.9095,143.886,,139.928,90.898,143.991,,,,,,,,
38,143.191,84.8578,143.171,,139.356,91.0709,143.407,,,,,,,,
39,144.047,85.1086,145.161,,141.219,90.5847,144.155,,,,,,,,
40,144.132,84.898,144.269,,139.941,91.0106,143.904,,,,,,,,
41,144.022,83.9147,144.999,,139.294,91.0767,143.838,,,,,,,,
42,144.636,84.6537,142.386,,139.366,90.4227,144.014,,,,,,,,
43,144.079,84.7622,143.694,,140.724,90.5069,143.85,,,,,,,,
44,144.446,84.9189,143.545,,139.341,90.6801,144.153,,,,,,,,
45,142.957,84.5164,144.502,,139.354,90.1806,144.007,,,,,,,,
46,145.496,85.2154,143.878,,139.386,90.3276,143.879,,,,,,,,
47,143.474,85.169,143.922,,139.369,91.0517,144.623,,,,,,,,
