Index,SSAO-Light,HBAO-Light,GTAO-Light
0,142.799,91.8408,140.505
1,142.779,93.0236,141.13
2,144.198,93.4101,143.328
3,142.64,91.7516,143.91
4,142.76,93.0026,143.29
5,142.663,92.8296,142.603
6,141.848,92.5726,143.435
7,143.509,92.7125,143.97
8,144.508,92.8988,145
9,149.723,93.064,144.538
10,147.419,92.7694,144.681
11,145.928,92.6223,144.022
12,145.013,92.9788,144.144
13,145.149,92.6893,143.876
14,144.4,92.6306,144.072
15,144.436,92.7149,144.623
16,144.625,92.7395,144.354
17,143.811,92.8924,144.337
18,147.576,92.7138,143.5
19,145.722,91.8351,144.396
20,144.668,93.046,143.352
21,144.243,93.4557,144.03
22,143.976,92.5023,143.435
23,144.02,92.1833,143.878
24,143.929,92.8233,143.265
25,144.863,93.8174,144.465
26,144.124,92.6015,143.91
27,144.243,93.0201,143.939
28,143.843,93.0611,144.282
29,145.068,92.9827,143.702
30,144.811,92.9623,143.872
31,144.228,92.49,144.013
32,143.529,92.2319,144.236
33,144.107,92.8033,143.942
34,144.853,93.4611,143.9
35,143.977,92.4975,144.506
36,144.332,92.8674,143.89
37,143.073,92.6461,144.043
38,144.547,92.5549,143.958
39,143.493,92.8954,144.224
40,144.007,92.6462,144.151
41,143.797,93.379,144.045
42,144.026,92.4273,144.602
43,143.789,92.6189,143.441
44,143.854,92.8071,143.966
45,144.404,92.6719,143.451
46,144.042,92.7433,143.866
47,144.15,92.7351,144.307
48,144.728,93.481,144.272
49,144.333,93.1381,143.288
50,144.818,93.1512,143.876
51,144.827,92.6291,143.983
52,144.071,92.9294,143.613
53,144.328,92.7974,143.865
54,145.275,92.7184,143.392
55,144.584,92.2139,144.37
56,143.988,92.9917,143.408
57,142.989,93.3645,144.13
58,144.126,92.4646,143.953
59,144.184,93.0803,143.382
60,145.321,93.8449,147.729
61,145.297,92.6666,147.061
62,143.898,93.028,144.911
63,145.085,93.9845,144.053
64,144.713,92.6615,144.399
65,145.439,92.9675,144.644
66,146.044,93.1037,145.277
67,145.57,92.9525,144.073
