Index,frame
0,143.38
1,144.898
2,143.512
3,143.775
4,145.201
5,144.301
6,143.742
7,143.19
8,144.045
9,143.804
10,143.727
11,143.955
12,143.974
13,142.893
14,144.119
15,144.064
16,143.91
17,144.002
18,144.057
19,144.828
20,143.871
21,144.206
22,143.589
23,143.867
24,143.919
25,143.876
26,144.14
27,143.275
28,144.244
29,143.451
30,144.259
31,141.641
32,143.677
33,144.191
34,144.446
35,144.592
36,144.078
37,144.077
38,144.434
39,144.407
40,144.084
41,144.017
42,143.495
43,143.177
44,144.146
45,144.167
46,143.98
47,144.018
48,145.28
49,144.111
50,143.934
51,143.828
52,144.272
53,144.39
54,143.956
55,144.793
56,144.094
57,144.38
58,143.918
59,144.097
60,144.443
61,143.873
62,144.45
63,144.053
64,144.25
65,143.983
66,144.14
67,144.422
68,144.045
69,143.924
70,144.211
71,143.884
72,143.856
73,145.158
74,143.871
75,143.936
76,143.958
77,143.978
78,143.6
79,144.095
80,144.067
81,143.894
82,144.267
83,143.876
84,143.686
85,143.013
86,143.901
87,144.501
88,144.081
89,144.278
90,144.132
91,146.294
92,143.946
93,144.244
94,144
95,143.984
96,144.011
97,143.816
98,144.01
99,143.767
100,143.976
101,143.421
102,144.479
103,144.303
104,144.14
105,144.013
106,143.937
107,144.021
108,144.066
109,143.935
110,143.993
111,144.242
112,143.975
113,143.794
114,144.049
115,143.974
116,143.831
117,143.907
118,143.563
119,143.619
120,144.173
121,143.269
122,144.064
123,144.133
124,144.016
125,144.077
126,143.968
127,144.404
128,143.559
129,144.279
130,143.582
131,144.152
132,143.365
133,141.439
134,141.788
135,141.354
136,141.283
137,141.717
138,141.735
139,141.684
140,140.902
141,141.72
142,141.627
143,141.95
144,141.882
145,142.337
146,141.815
147,141.479
148,141.718
149,141.682
150,140.951
151,141.725
152,141.53
153,141.574
154,140.67
155,141.027
156,140.918
157,141.727
158,140.899
159,141.886
160,141.706
161,141.558
162,141.599
163,141.422
164,141.196
165,141.14
166,141.855
167,140.735
168,140.132
169,141.29
170,141.439
171,141.748
172,141.569
173,141.822
174,141.279
175,140.882
176,140.995
177,141.477
178,141.957
179,142.065
180,141.703
181,142.356
182,141.622
183,141.693
184,141.505
185,141.586
186,140.992
187,141.659
188,142.169
189,140.47
190,140.699
191,141.769
192,141.975
193,144.157
194,143.556
195,144.182
196,144.187
197,143.794
198,143.973
199,142.96
200,144.641
201,143.789
202,143.939
203,144.023
204,144.102
205,144.381
206,143.885
207,144.402
208,143.373
209,144.183
210,144.423
211,143.907
212,144.64
213,144.13
214,144.841
215,144.584
216,144.779
217,143.355
218,141.719
219,142.345
220,144.098
221,144.096
222,144.14
223,144.596
224,144.276
225,144.504
226,143.731
227,145
228,145.515
229,144.433
230,144.232
231,143.616
232,144.114
233,143.894
234,144.234
235,144.905
236,144.94
237,144.226
238,144.116
239,143.449
240,143.82
241,144.133
242,143.755
243,143.798
244,143.715
245,143.907
246,144.587
247,144.018
248,143.38
249,145.299
250,144.557
251,143.985
252,144.494
253,143.73
254,144.562
255,144.199
256,144.074
257,143.705
258,144.341
259,144.957
260,144.313
261,144.323
262,143.717
263,143.912
264,144.013
265,143.888
266,143.764
267,144.137
268,144.57
269,144.127
270,143.795
271,143.969
272,143.992
273,144.058
274,143.968
275,143.829
276,143.887
277,144.512
278,146.569
279,145.593
280,143.399
281,144.699
282,143.02
283,144.131
284,143.493
285,144.01
286,144.175
287,143.878
288,143.895
289,143.124
290,144.115
291,144.026
292,143.728
293,143.669
294,144.112
295,143.507
296,143.645
297,144.074
298,143.399
299,144.378
