Index,SSAO-GrayScale,HBAO-GrayScale,GTAO-GrayScale,,SSAO-Light,HBAO-Light,GTAO-Light,,,,,,,,
0,143.122,93.6164,143.494,,142.799,91.8408,140.505,,,,,,,,
1,143.949,93.0397,144.694,,142.779,93.0236,141.13,,,,,,,,
2,143.743,93.4249,144.071,,144.198,93.4101,143.328,,141.67352,92.89631567,140.8113867,#DIV/0!,141.4658333,91.07148267,143.9643633
3,142.669,93.8402,144.167,,142.64,91.7516,143.91,,,,,,,,
4,142.669,93.8863,142.882,,142.76,93.0026,143.29,,,,,,,,
5,144.121,93.6549,144.486,,142.663,92.8296,142.603,,,,,,,,
6,144.167,94.2639,144.842,,141.848,92.5726,143.435,,,,,,,,
7,144.684,93.9965,144.936,,143.509,92.7125,143.97,,,,,,,,
8,143.997,93.8472,143.743,,144.508,92.8988,145,,,,,,,,
9,144.381,93.9893,140.507,,149.723,93.064,144.538,,,,,,,,
10,144.039,95.0676,140.279,,147.419,92.7694,144.681,,,,,,,,
11,144.136,95.6368,137.808,,145.928,92.6223,144.022,,,,,,,,
12,144,94.2394,139.155,,145.013,92.9788,144.144,,,,,,,,
13,144.758,93.817,137.673,,145.149,92.6893,143.876,,,,,,,,
14,143.617,93.4644,138.429,,144.4,92.6306,144.072,,,,,,,,
15,144.494,94.2759,139.687,,144.436,92.7149,144.623,,,,,,,,
16,144.705,93.127,141.406,,144.625,92.7395,144.354,,,,,,,,
17,145.606,93.3807,137.498,,143.811,92.8924,144.337,,,,,,,,
18,145.318,93.6816,138.138,,147.576,92.7138,143.5,,,,,,,,
19,144.037,93.6677,135.8,,145.722,91.8351,144.396,,,,,,,,
20,145.034,93.9251,137.443,,144.668,93.046,143.352,,,,,,,,
21,144.215,93.6153,139.14,,144.243,93.4557,144.03,,,,,,,,
22,145.139,93.8407,135.846,,143.976,92.5023,143.435,,,,,,,,
23,144.46,93.6355,138.023,,144.02,92.1833,143.878,,,,,,,,
24,144.374,93.6514,137.671,,143.929,92.8233,143.265,,,,,,,,
25,144.284,93.9582,137.169,,144.863,93.8174,144.465,,,,,,,,
26,144.351,93.1164,137.325,,144.124,92.6015,143.91,,,,,,,,
27,144.601,92.6863,139.124,,144.243,93.0201,143.939,,,,,,,,
28,145.37,93.3646,138.049,,143.843,93.0611,144.282,,,,,,,,
29,144.07,93.7092,138.551,,145.068,92.9827,143.702,,,,,,,,
30,143.807,93.4375,138.533,,144.811,92.9623,143.872,,,,,,,,
31,146.369,93.701,140.025,,144.228,92.49,144.013,,,,,,,,
32,146.632,93.4155,138.295,,143.529,92.2319,144.236,,,,,,,,
33,146.093,93.5426,137.592,,144.107,92.8033,143.942,,,,,,,,
34,146.139,93.2343,138.735,,144.853,93.4611,143.9,,,,,,,,
35,144.669,93.6832,138.21,,143.977,92.4975,144.506,,,,,,,,
36,144.529,93.316,137.504,,144.332,92.8674,143.89,,,,,,,,
37,144.76,93.3457,133.312,,143.073,92.6461,144.043,,,,,,,,
38,143.657,93.5848,134.973,,144.547,92.5549,143.958,,,,,,,,
39,145.449,93.4412,134.787,,143.493,92.8954,144.224,,,,,,,,
40,144.091,93.3862,134.232,,144.007,92.6462,144.151,,,,,,,,
41,144.326,93.4766,134.65,,143.797,93.379,144.045,,,,,,,,
42,143.963,93.099,135.146,,144.026,92.4273,144.602,,,,,,,,
43,143.821,93.4619,134.713,,143.789,92.6189,143.441,,,,,,,,
44,143.948,93.5026,134.878,,143.854,92.8071,143.966,,,,,,,,
45,144.074,93.1455,135.163,,144.404,92.6719,143.451,,,,,,,,
46,143.924,93.5609,137.012,,144.042,92.7433,143.866,,,,,,,,
47,143.889,93.3645,136.804,,144.15,92.7351,144.307,,,,,,,,
48,144.149,92.8543,136.896,,144.728,93.481,144.272,,,,,,,,
49,144.4,93.3052,137.15,,144.333,93.1381,143.288,,,,,,,,
50,144.787,93.6636,136.306,,144.818,93.1512,143.876,,,,,,,,
51,143.864,92.4795,133.255,,144.827,92.6291,143.983,,,,,,,,
52,143.001,93.8592,131.851,,144.071,92.9294,143.613,,,,,,,,
53,144.09,94.0236,131.558,,144.328,92.7974,143.865,,,,,,,,
54,144.113,93.1258,132.957,,145.275,92.7184,143.392,,,,,,,,
55,143.969,92.7863,132.566,,144.584,92.2139,144.37,,,,,,,,
56,144.425,93.2803,132.426,,143.988,92.9917,143.408,,,,,,,,
57,144.069,93.6957,131.766,,142.989,93.3645,144.13,,,,,,,,
58,143.896,93.4311,132.928,,144.126,92.4646,143.953,,,,,,,,
59,143.995,93.593,130.428,,144.184,93.0803,143.382,,,,,,,,
60,145.041,93.3413,132.722,,145.321,93.8449,147.729,,,,,,,,
61,143.735,93.9729,132.762,,145.297,92.6666,147.061,,,,,,,,
62,144.038,93.5638,131.796,,143.898,93.028,144.911,,,,,,,,
63,145.069,93.3815,132.301,,145.085,93.9845,144.053,,,,,,,,
64,145.282,93.312,133.74,,144.713,92.6615,144.399,,,,,,,,
65,144.202,93.1973,128.244,,145.439,92.9675,144.644,,,,,,,,
66,143.296,93.5387,128.908,,146.044,93.1037,145.277,,,,,,,,
67,143.881,93.1612,130.794,,145.57,92.9525,144.073,,,,,,,,
68,143.636,93.1087,130.226,,143.593,92.3022,143.899,,,,,,,,
69,143.792,93.3481,134.615,,143.891,92.7356,144.063,,,,,,,,
70,143.71,93.9855,134.109,,144.578,92.7875,143.842,,,,,,,,
71,143.741,92.921,136.548,,143.327,92.77,143.71,,,,,,,,
72,143.012,93.4941,135.048,,143.182,91.5774,142.989,,,,,,,,
73,144.19,93.1029,136.618,,143.323,92.7442,143.685,,,,,,,,
74,144.328,93.0774,135.819,,143.92,92.9127,143.611,,,,,,,,
75,143.769,93.2043,134.686,,143.616,92.9256,143.592,,,,,,,,
76,143.885,94.1062,133.146,,142.736,93.0301,144.189,,,,,,,,
77,143.538,92.6224,136.83,,143.166,91.4213,143.68,,,,,,,,
78,142.776,93.4102,136.143,,143.485,92.4003,143.492,,,,,,,,
79,142.981,93.1562,138.457,,143.957,93.731,141.502,,,,,,,,
80,142.384,92.3906,136.706,,143.899,92.4976,144.055,,,,,,,,
81,143.493,93.3907,134.744,,143.892,92.7653,143.389,,,,,,,,
82,143.69,93.3113,138.441,,143.768,93.1636,144.266,,,,,,,,
83,144.092,93.4051,136.887,,143.991,93.7531,143.192,,,,,,,,
84,143.169,93.4491,136.601,,143.573,92.8697,144.125,,,,,,,,
85,144.002,93.6124,136.504,,143.922,93.0453,144.219,,,,,,,,
86,143.794,93.5603,136.992,,143.511,93.3144,143.443,,,,,,,,
87,144.15,93.5661,135.175,,144.068,92.7078,144.06,,,,,,,,
88,143.207,92.9937,136.238,,144.285,92.9642,143.828,,,,,,,,
89,144.076,93.1742,135.644,,144.137,93.0099,144.309,,,,,,,,
90,144.765,92.5788,135.762,,144.181,92.5399,142.914,,,,,,,,
91,144.254,93.0854,135.605,,143.789,92.7709,144.073,,,,,,,,
92,144.036,93.3593,134.87,,144.348,93.4506,144.087,,,,,,,,
93,143.164,93.0995,136.733,,143.898,92.7413,144.178,,,,,,,,
94,144.071,93.4318,135.538,,143.636,92.9304,143.545,,,,,,,,
95,143.927,93.565,136.783,,143.438,93.6633,143.088,,,,,,,,
96,144.235,93.5179,134.851,,143.764,91.9741,142.916,,,,,,,,
97,143.648,93.4475,140.101,,144.942,93.0535,143.84,,,,,,,,
98,144.384,93.4443,139.887,,144.267,93.1017,143.718,,,,,,,,
99,143.717,92.9547,138.906,,143.413,93.0167,143.91,,,,,,,,
100,144.175,93.1938,140.223,,143.876,92.9913,144.138,,,,,,,,
101,144.018,93.1536,139.045,,144.294,92.7743,143.678,,,,,,,,
102,143.938,93.2712,138.637,,144.108,93.1353,144.204,,,,,,,,
103,144.001,92.3783,139.961,,143.764,92.9687,144.346,,,,,,,,
104,143.747,93.0216,138.922,,143.246,92.7114,143.543,,,,,,,,
105,143.541,93.4242,138.421,,143.169,92.7331,144.401,,,,,,,,
106,143.329,92.8982,136.371,,144.079,92.7794,143.246,,,,,,,,
107,144.098,93.2066,136.923,,143.507,92.8829,144.318,,,,,,,,
108,143.86,93.8317,137.089,,144.017,92.7456,143.52,,,,,,,,
